ticker,yr,form,Net_Income,Operating_Income,Revenue
CMG,2024,10-K,1534110000.0,1916333000.0,11313853000.0
CMG,2023,10-K,1228737000.0,1557813000.0,9871649000.0
CMG,2022,10-K,899101000.0,1160403000.0,8634652000.0
CMG,2021,10-K,652984000.0,804943000.0,7547061000.0
CMG,2020,10-K,355766000.0,290164000.0,5984634000.0
CMG,2019,10-K,350158000.0,443958000.0,5586369000.0
CMG,2018,10-K,176553000.0,258368000.0,4864985000.0
CMG,2017,10-K,176253000.0,270794000.0,4476412000.0
CMG,2016,10-K,22938000.0,34567000.0,3904384000.0
CMG,2015,10-K,475602000.0,763589000.0,
CMG,2014,10-K,445374000.0,710800000.0,
CMG,2013,10-K,327438000.0,532720000.0,
CMG,2012,10-K,278000000.0,455865000.0,
CMG,2011,10-K,214945000.0,350562000.0,
CMG,2010,10-K,178981000.0,287831000.0,
CMG,2009,10-K,126845000.0,203705000.0,
CMG,2008,10-K,78202000.0,124039000.0,
MCD,2024,10-K,8223000000.0,11712000000.0,25920000000.0
MCD,2023,10-K,8469000000.0,11647000000.0,25494000000.0
MCD,2022,10-K,6177000000.0,9371000000.0,23183000000.0
MCD,2021,10-K,7545200000.0,10356000000.0,23222900000.0
MCD,2020,10-K,4730500000.0,7324000000.0,19207800000.0
MCD,2019,10-K,6025400000.0,9069800000.0,21364400000.0
MCD,2018,10-K,5924300000.0,8822600000.0,21257900000.0
MCD,2017,10-K,5192300000.0,9552700000.0,22820400000.0
MCD,2016,10-K,4686500000.0,7744500000.0,24621900000.0
MCD,2015,10-K,4529300000.0,7145500000.0,25413000000.0
MCD,2014,10-K,4757800000.0,7949200000.0,27441300000.0
MCD,2013,10-K,5585900000.0,8764300000.0,28105700000.0
MCD,2012,10-K,5464800000.0,8604600000.0,27567000000.0
MCD,2011,10-K,5503100000.0,8529700000.0,27006000000.0
MCD,2010,10-K,4946300000.0,7473100000.0,24074600000.0
MCD,2009,10-K,4551000000.0,6841000000.0,22744700000.0
MCD,2008,10-K,4313200000.0,6442900000.0,23522400000.0
MCD,2007,10-K,2395100000.0,3879000000.0,22786600000.0
SBUX,2024,10-Q,780800000.0,1121700000.0,9397800000.0
SBUX,2023,10-Q,1024400000.0,1485400000.0,9425300000.0
SBUX,2022,10-K,3281600000.0,4617800000.0,32250300000.0
SBUX,2021,10-K,4199300000.0,4872100000.0,29060600000.0
SBUX,2020,10-K,928300000.0,1561700000.0,23518000000.0
SBUX,2019,10-K,3599200000.0,4077900000.0,26508600000.0
SBUX,2018,10-K,4518300000.0,3883300000.0,24719500000.0
SBUX,2017,10-K,2884700000.0,4134700000.0,22386800000.0
SBUX,2016,10-K,2817700000.0,4171900000.0,21315900000.0
SBUX,2015,10-K,2757400000.0,3601000000.0,
SBUX,2014,10-K,2068100000.0,3081100000.0,
SBUX,2013,10-K,8300000.0,-325400000.0,
SBUX,2013,10-Q,,,14866800000.0
SBUX,2012,10-K,1383800000.0,1997400000.0,
SBUX,2012,10-Q,,,13276800000.0
SBUX,2011,10-K,1245700000.0,1728500000.0,11700400000.0
SBUX,2010,8-K,945600000.0,1419400000.0,10707400000.0
SBUX,2009,10-K,390800000.0,562000000.0,9774600000.0
SBUX,2008,10-K,315500000.0,503900000.0,
SBUX,2007,10-K,672600000.0,1053900000.0,
